abone_id,gercek_tip
A0283,restoran
A0125,ofis
A0142,ofis
A0050,konut
A0147,ofis
A0104,ofis
A0267,restoran
A0079,konut
A0097,ofis
A0116,ofis
A0259,restoran
A0057,konut
A0186,sanayi_3vardiya
A0268,restoran
A0033,konut
A0013,konut
A0023,konut
A0172,sanayi_3vardiya
A0244,okul
A0219,okul
A0105,ofis
A0176,sanayi_3vardiya
A0114,ofis
A0157,ofis
A0224,okul
A0210,okul
A0041,konut
A0137,ofis
A0211,okul
A0190,sanayi_3vardiya
A0011,konut
A0089,konut
A0036,konut
A0294,restoran
A0218,okul
A0045,konut
A0106,ofis
A0226,okul
A0017,konut
A0207,sanayi_3vardiya
A0236,okul
A0153,ofis
A0281,restoran
A0039,konut
A0262,restoran
A0076,konut
A0095,ofis
A0012,konut
A0010,konut
A0278,restoran
A0143,ofis
A0065,konut
A0031,konut
A0130,ofis
A0016,konut
A0185,sanayi_3vardiya
A0182,sanayi_3vardiya
A0042,konut
A0187,sanayi_3vardiya
A0117,ofis
A0266,restoran
A0230,okul
A0128,ofis
A0112,ofis
A0080,konut
A0289,restoran
A0222,okul
A0265,restoran
A0131,ofis
A0118,ofis
A0293,restoran
A0018,konut
A0204,sanayi_3vardiya
A0161,sanayi_3vardiya
A0132,ofis
A0269,restoran
A0066,konut
A0193,sanayi_3vardiya
A0058,konut
A0052,konut
A0237,okul
A0003,konut
A0288,restoran
A0208,sanayi_3vardiya
A0261,restoran
A0228,okul
A0241,okul
A0078,konut
A0086,konut
A0199,sanayi_3vardiya
A0000,konut
A0245,okul
A0188,sanayi_3vardiya
A0124,ofis
A0063,konut
A0192,sanayi_3vardiya
A0022,konut
A0145,ofis
A0070,konut
A0110,ofis
A0034,konut
A0020,konut
A0205,sanayi_3vardiya
A0274,restoran
A0151,ofis
A0277,restoran
A0009,konut
A0081,konut
A0005,konut
A0040,konut
A0059,konut
A0019,konut
A0062,konut
A0136,ofis
A0231,okul
A0290,restoran
A0090,ofis
A0170,sanayi_3vardiya
A0223,okul
A0155,ofis
A0002,konut
A0252,restoran
A0046,konut
A0055,konut
A0073,konut
A0141,ofis
A0202,sanayi_3vardiya
A0113,ofis
A0043,konut
A0238,okul
A0160,sanayi_3vardiya
A0154,ofis
A0098,ofis
A0179,sanayi_3vardiya
A0094,ofis
A0163,sanayi_3vardiya
A0197,sanayi_3vardiya
A0215,okul
A0214,okul
A0201,sanayi_3vardiya
A0173,sanayi_3vardiya
A0225,okul
A0178,sanayi_3vardiya
A0053,konut
A0271,restoran
A0082,konut
A0270,restoran
A0275,restoran
A0054,konut
A0291,restoran
A0093,ofis
A0021,konut
A0229,okul
A0169,sanayi_3vardiya
A0120,ofis
A0134,ofis
A0035,konut
A0279,restoran
A0101,ofis
A0024,konut
A0150,ofis
A0001,konut
A0181,sanayi_3vardiya
A0264,restoran
A0168,sanayi_3vardiya
A0191,sanayi_3vardiya
A0084,konut
A0257,restoran
A0273,restoran
A0006,konut
A0206,sanayi_3vardiya
A0092,ofis
A0292,restoran
A0123,ofis
A0200,sanayi_3vardiya
A0091,ofis
A0177,sanayi_3vardiya
A0067,konut
A0048,konut
A0144,ofis
A0102,ofis
A0109,ofis
A0085,konut
A0127,ofis
A0103,ofis
A0064,konut
A0212,okul
A0198,sanayi_3vardiya
A0263,restoran
A0032,konut
A0069,konut
A0209,sanayi_3vardiya
A0171,sanayi_3vardiya
A0162,sanayi_3vardiya
A0285,restoran
A0220,okul
A0049,konut
A0253,restoran
A0126,ofis
A0121,ofis
A0227,okul
A0044,konut
A0299,restoran
A0242,okul
A0235,okul
A0174,sanayi_3vardiya
A0282,restoran
A0152,ofis
A0196,sanayi_3vardiya
A0248,okul
A0250,restoran
A0234,okul
A0246,okul
A0284,restoran
A0249,okul
A0108,ofis
A0149,ofis
A0156,ofis
A0194,sanayi_3vardiya
A0026,konut
A0087,konut
A0254,restoran
A0138,ofis
A0280,restoran
A0075,konut
A0258,restoran
A0195,sanayi_3vardiya
A0107,ofis
A0008,konut
A0004,konut
A0243,okul
A0184,sanayi_3vardiya
A0298,restoran
A0100,ofis
A0037,konut
A0203,sanayi_3vardiya
A0077,konut
A0180,sanayi_3vardiya
A0074,konut
A0133,ofis
A0189,sanayi_3vardiya
A0027,konut
A0159,ofis
A0183,sanayi_3vardiya
A0083,konut
A0140,ofis
A0015,konut
A0216,okul
A0061,konut
A0038,konut
A0119,ofis
A0221,okul
A0088,konut
A0030,konut
A0295,restoran
A0167,sanayi_3vardiya
A0060,konut
A0256,restoran
A0007,konut
A0158,ofis
A0056,konut
A0071,konut
A0175,sanayi_3vardiya
A0164,sanayi_3vardiya
A0029,konut
A0051,konut
A0260,restoran
A0146,ofis
A0068,konut
A0272,restoran
A0111,ofis
A0255,restoran
A0135,ofis
A0099,ofis
A0239,okul
A0296,restoran
A0297,restoran
A0047,konut
A0025,konut
A0129,ofis
A0232,okul
A0139,ofis
A0213,okul
A0148,ofis
A0286,restoran
A0122,ofis
A0251,restoran
A0247,okul
A0028,konut
A0072,konut
A0165,sanayi_3vardiya
A0276,restoran
A0287,restoran
A0166,sanayi_3vardiya
A0096,ofis
A0233,okul
A0014,konut
A0217,okul
A0115,ofis
A0240,okul
