gun,saat,hafta_sonu,sicaklik_C,tuketim_kW
1,0,0,22.6,59.2
1,1,0,18.0,63.0
1,2,0,19.5,29.8
1,3,0,17.8,36.0
1,4,0,10.1,46.6
1,5,0,9.7,83.7
1,6,0,11.3,98.3
1,7,0,9.6,126.1
1,8,0,10.0,122.9
1,9,0,8.6,123.0
1,10,0,12.8,129.6
1,11,0,13.9,120.5
1,12,0,14.1,124.4
1,13,0,18.2,118.5
1,14,0,18.9,128.2
1,15,0,18.4,133.3
1,16,0,22.7,150.2
1,17,0,21.7,174.5
1,18,0,26.7,178.0
1,19,0,25.6,155.2
1,20,0,25.6,157.2
1,21,0,24.4,130.1
1,22,0,27.4,103.3
1,23,0,23.3,57.1
2,0,0,21.6,60.8
2,1,0,19.8,61.4
2,2,0,19.5,62.4
2,3,0,17.1,52.1
2,4,0,15.2,51.0
2,5,0,13.6,64.9
2,6,0,15.8,96.1
2,7,0,9.9,117.6
2,8,0,9.4,123.9
2,9,0,9.1,148.4
2,10,0,12.7,140.3
2,11,0,15.0,129.1
2,12,0,,112.6
2,13,0,14.7,126.8
2,14,0,16.8,131.1
2,15,0,21.8,135.5
2,16,0,23.9,154.0
2,17,0,25.2,176.2
2,18,0,24.0,185.9
2,19,0,26.6,183.6
2,20,0,26.7,157.5
2,21,0,26.6,116.1
2,22,0,27.1,110.2
2,23,0,,68.5
3,0,0,24.2,50.0
3,1,0,21.0,67.5
3,2,0,19.4,61.8
3,3,0,18.0,58.9
3,4,0,11.9,56.0
3,5,0,12.5,82.8
3,6,0,11.0,96.1
3,7,0,9.8,121.6
3,8,0,10.3,123.3
3,9,0,14.1,135.2
3,10,0,10.2,126.5
3,11,0,15.1,109.6
3,12,0,11.5,119.6
3,13,0,16.1,119.4
3,14,0,19.2,140.4
3,15,0,22.1,139.2
3,16,0,24.3,144.4
3,17,0,26.1,177.5
3,18,0,25.1,183.1
3,19,0,25.6,171.6
3,20,0,28.5,159.6
3,21,0,26.2,126.8
3,22,0,23.2,90.0
3,23,0,22.2,62.0
4,0,0,21.4,64.1
4,1,0,22.3,57.1
4,2,0,19.5,33.7
4,3,0,18.5,47.0
4,4,0,14.4,62.0
4,5,0,13.9,80.5
4,6,0,13.6,104.2
4,7,0,10.9,120.3
4,8,0,12.1,125.2
4,9,0,10.2,123.3
4,10,0,11.6,128.8
4,11,0,12.8,123.0
4,12,0,12.8,130.3
4,13,0,18.1,128.8
4,14,0,18.3,124.9
