motor_tipi,calisma_saati,titresim_rms_mms,titresim_kurtosis,sicaklik_C,akim_dengesizlik_pct,ariza
senkron,9454.0,2.53,2.86,69.0,2.35,0
asenkron,10980.0,2.55,4.14,45.1,2.99,0
asenkron,4522.0,1.49,4.41,46.2,3.41,0
senkron,16617.0,3.39,2.24,65.8,0.94,0
dc,7281.0,2.64,3.09,68.5,0.73,0
asenkron,18477.0,4.03,2.17,60.4,0.33,0
asenkron,1305.0,1.74,4.28,50.8,0.47,0
senkron,6931.0,2.27,4.34,55.6,3.25,0
asenkron,12757.0,2.94,3.56,65.9,0.87,0
senkron,5277.0,4.4,2.35,72.6,4.02,1
asenkron,6014.0,5.39,4.94,53.2,3.62,1
senkron,8460.0,2.13,3.19,61.2,2.24,0
asenkron,18263.0,3.99,3.13,60.8,5.96,1
asenkron,16955.0,3.37,4.18,61.0,3.01,0
dc,6867.0,1.81,2.17,54.6,0.45,0
asenkron,11972.0,2.58,1.7,70.1,4.03,0
dc,14485.0,4.18,5.52,69.9,6.27,1
asenkron,18145.0,3.61,2.98,57.8,1.12,0
dc,15013.0,3.86,4.4,65.6,1.89,0
asenkron,16152.0,2.88,4.14,57.0,0.51,0
senkron,19637.0,2.97,2.49,63.3,4.8,0
asenkron,11819.0,3.84,4.03,66.2,0.36,1
asenkron,3509.0,1.21,3.61,69.1,0.82,0
asenkron,16845.0,1.02,4.46,56.7,1.05,0
dc,10974.0,1.61,3.22,65.3,2.62,0
senkron,19134.0,4.06,2.79,48.3,1.61,0
asenkron,7097.0,3.56,3.44,84.4,5.6,1
asenkron,9198.0,1.11,3.77,24.0,0.85,0
senkron,1603.0,4.51,2.19,70.9,0.95,1
dc,8429.0,3.81,2.65,61.4,3.25,0
asenkron,6126.0,1.55,2.91,60.0,1.01,0
senkron,14919.0,0.85,3.65,54.5,0.34,1
asenkron,7407.0,1.32,4.6,53.7,2.5,0
senkron,17045.0,2.81,2.58,60.6,0.72,0
asenkron,15814.0,2.95,2.91,51.6,1.15,0
dc,12475.0,3.81,2.33,63.9,1.66,0
asenkron,4980.0,2.78,3.77,51.0,1.15,0
asenkron,10725.0,3.04,3.97,62.6,0.11,0
senkron,2965.0,1.52,4.74,46.9,0.78,0
