gun,saat,isinim_Wm2,sicaklik_C,ruzgar_ms,bulutluluk,guc_kW
1,0,0.0,18.0,2.4,0.22,0.0
1,1,10.2,5.9,6.3,0.15,0.0
1,2,2.4,6.2,1.8,0.06,0.21
1,3,12.2,7.0,6.3,0.11,0.131
1,4,0.0,17.0,0.9,0.22,0.151
1,5,17.8,10.6,3.3,0.18,0.539
1,6,18.4,11.3,2.0,0.09,0.073
1,7,234.9,16.2,1.7,0.04,2.152
1,8,412.1,17.1,0.6,0.18,3.669
1,9,603.2,21.4,6.4,0.14,4.967
1,10,737.9,23.0,4.2,0.14,6.05
1,11,834.6,22.8,1.4,0.14,7.131
1,12,805.3,29.2,4.2,0.19,6.506
1,13,770.4,29.3,1.6,0.19,6.359
1,14,669.7,29.6,3.0,0.24,5.769
1,15,579.7,29.5,4.2,0.24,4.77
1,16,372.7,32.4,5.6,0.27,3.411
1,17,189.1,28.5,2.1,0.23,1.819
1,18,0.0,19.5,5.8,0.14,0.0
1,19,3.3,25.8,1.8,0.16,0.115
1,20,18.4,21.2,1.8,0.21,0.323
1,21,0.0,19.1,2.2,0.14,0.0
1,22,3.3,15.7,2.8,0.21,0.182
1,23,3.9,16.0,6.1,0.26,0.166
2,0,7.7,7.2,5.4,0.44,0.0
2,1,2.8,6.7,3.3,0.36,0.076
2,2,16.4,5.5,3.0,0.6,0.057
2,3,10.9,9.6,1.6,0.5,0.224
2,4,0.0,21.0,3.0,0.56,0.0
2,5,37.0,9.5,1.7,0.4,0.497
2,6,0.0,17.7,1.5,0.64,0.0
2,7,123.2,18.1,3.3,0.56,0.958
2,8,315.8,17.7,1.4,0.49,3.093
2,9,436.2,22.4,3.0,0.47,3.743
2,10,504.0,22.1,4.1,0.51,4.517
2,11,584.7,24.8,3.8,0.49,4.929
2,12,618.8,28.1,7.6,0.48,5.056
2,13,627.8,29.8,3.8,0.41,5.011
2,14,441.4,27.8,2.2,0.6,3.946
2,15,405.1,28.7,0.2,0.5,3.476
2,16,281.5,30.8,1.7,0.51,2.438
2,17,140.4,31.0,5.7,0.51,0.97
2,18,17.7,28.5,6.7,0.31,0.185
2,19,4.7,26.3,2.4,0.54,0.0
2,20,8.6,24.2,1.3,0.48,0.137
2,21,0.0,16.5,0.8,0.48,0.0
2,22,16.2,18.9,0.2,0.51,0.106
2,23,0.0,19.7,4.1,0.42,0.008
3,0,7.6,7.8,0.5,0.48,0.008
3,1,10.9,4.9,6.6,0.36,0.289
3,2,0.0,17.2,1.9,0.34,0.0
3,3,0.0,20.3,0.7,0.35,0.0
3,4,8.2,7.2,9.3,0.43,0.274
3,5,0.0,17.0,6.6,0.47,0.118
3,6,0.0,21.0,4.4,0.37,0.027
3,7,191.8,14.6,1.0,0.29,1.793
3,8,280.6,17.5,3.5,0.5,2.651
3,9,504.1,22.3,3.5,0.33,4.349
3,10,538.7,25.0,3.0,0.51,4.372
3,11,629.1,25.9,3.2,0.41,5.439
3,12,708.4,25.9,2.5,0.36,5.816
3,13,652.1,28.7,3.2,0.36,5.068
3,14,545.7,30.6,4.8,0.45,4.385
3,15,423.3,29.2,2.0,0.49,3.455
3,16,330.8,28.9,3.7,0.4,2.819
3,17,167.1,31.3,0.3,0.49,1.663
3,18,32.5,28.8,1.1,0.58,0.256
3,19,0.0,19.8,2.1,0.4,0.0
3,20,19.9,25.2,1.1,0.32,0.0
3,21,5.6,19.8,0.4,0.33,0.22
3,22,11.3,19.4,1.5,0.3,0.111
3,23,0.0,20.4,2.7,0.36,0.0
4,0,0.0,20.0,1.3,0.24,0.106
4,1,0.0,17.2,5.6,0.2,0.238
4,2,0.0,16.6,1.2,0.34,0.0
4,3,0.1,6.9,2.8,0.09,0.0
4,4,0.0,19.8,0.9,0.2,0.152
4,5,0.3,11.2,4.4,0.46,0.343
4,6,2.9,14.1,8.2,0.39,0.0
4,7,210.0,14.4,2.2,0.34,2.151
4,8,380.5,20.2,2.4,0.34,3.265
4,9,456.1,20.5,5.3,0.44,3.67
4,10,602.6,25.8,0.8,0.34,5.133
4,11,714.9,26.4,6.6,0.31,5.694
4,12,817.4,23.8,2.9,0.2,6.573
4,13,711.1,29.4,3.2,0.3,6.097
4,14,660.1,29.3,0.6,0.24,5.23
4,15,521.5,29.7,3.5,0.25,4.52
4,16,387.5,30.4,1.3,0.24,3.076
4,17,220.0,31.4,3.0,0.3,1.839
4,18,0.0,20.2,0.8,0.28,0.065
4,19,6.1,28.5,5.3,0.37,0.0
4,20,5.8,24.1,2.9,0.2,0.0
4,21,7.6,18.8,1.2,0.29,0.348
4,22,11.9,18.1,2.0,0.45,0.0
4,23,0.0,17.6,1.6,0.31,0.0
5,0,0.0,18.2,4.9,0.33,0.003
5,1,6.0,11.2,4.8,0.32,0.0
5,2,0.0,20.4,6.1,0.33,0.31
5,3,18.6,7.0,1.6,0.29,0.0
5,4,0.0,21.0,2.2,0.12,0.211
5,5,14.2,11.3,3.8,0.21,0.268
5,6,26.9,12.0,1.8,0.2,0.252
5,7,223.0,18.3,1.3,0.11,2.198
5,8,407.4,18.5,1.9,0.19,3.368
5,9,602.6,22.1,0.6,0.13,5.106
5,10,775.4,27.9,0.9,0.1,6.393
5,11,716.5,25.2,4.1,0.25,6.016
5,12,767.6,30.2,2.3,0.23,6.015
5,13,793.7,29.6,1.4,0.17,6.384
5,14,741.7,29.3,4.6,0.15,6.14
5,15,587.4,30.9,1.2,0.19,4.61
5,16,392.8,31.2,3.1,0.2,3.302
5,17,234.3,30.3,5.6,0.2,1.852
5,18,2.3,26.3,3.6,0.23,0.0
5,19,0.0,20.5,1.7,0.19,0.0
5,20,8.6,23.2,0.9,0.26,0.119
5,21,20.2,22.4,1.8,0.27,0.1
5,22,0.0,19.5,1.1,0.26,0.0
5,23,0.0,18.4,7.5,0.18,0.076
6,0,0.0,20.4,2.8,0.17,0.0
6,1,2.1,6.5,4.5,0.26,0.0
6,2,14.8,6.4,0.2,0.2,0.0
6,3,0.0,17.4,1.9,0.22,0.0
6,4,4.6,7.4,6.7,0.02,0.262
6,5,0.0,18.5,1.0,0.0,0.0
6,6,1.8,11.0,2.2,0.25,0.0
6,7,181.1,16.3,2.0,0.25,1.758
6,8,350.5,18.7,3.1,0.33,3.052
6,9,509.4,24.7,1.8,0.28,4.312
6,10,661.7,23.0,2.7,0.24,5.585
6,11,741.8,28.7,6.0,0.22,6.288
6,12,845.4,29.5,3.9,0.11,6.92
6,13,736.4,30.8,1.7,0.29,5.678
6,14,734.9,30.3,4.2,0.17,6.113
6,15,548.4,30.3,2.1,0.26,4.757
6,16,386.1,30.7,0.2,0.24,3.077
6,17,224.0,30.3,6.0,0.24,1.881
6,18,0.0,20.4,5.9,0.29,0.036
6,19,7.2,26.2,0.8,0.18,0.241
6,20,17.9,27.1,2.9,0.19,0.0
6,21,4.2,24.7,7.1,0.15,0.279
6,22,23.1,15.8,0.4,0.19,0.395
6,23,0.0,19.7,3.6,0.35,0.048
7,0,0.0,19.7,2.1,0.07,0.286
7,1,2.9,6.4,0.4,0.2,0.0
7,2,0.0,15.8,4.3,0.17,0.299
7,3,0.0,17.2,3.5,0.16,0.013
7,4,12.6,10.2,2.8,0.16,0.318
7,5,0.0,20.9,4.4,0.02,0.0
7,6,17.9,15.3,0.8,0.13,0.374
7,7,209.0,17.9,2.3,0.23,1.954
7,8,477.9,19.5,4.0,0.04,3.997
7,9,635.6,24.0,1.9,0.1,5.288
7,10,804.9,25.8,4.7,0.05,6.925
7,11,858.3,29.0,3.2,0.13,6.739
7,12,939.9,29.0,0.7,0.01,7.37
7,13,759.4,29.7,0.5,0.23,6.211
7,14,797.4,29.2,3.3,0.07,6.644
7,15,662.9,34.2,11.4,0.0,5.482
7,16,406.3,30.7,6.6,0.24,3.525
7,17,224.5,29.1,3.1,0.18,1.984
7,18,0.0,16.6,2.9,0.14,0.128
7,19,0.0,20.7,3.1,0.14,0.0
7,20,0.0,17.8,2.9,0.07,0.0
