rms,tepe,crest,kurtosis,carpiklik,bant_0_500,bant_500_2k,bant_2k_3k,bant_3k_4k,bant_4k_6k,rpm,sinif
0.61017,1.87054,3.06561,2.7278,-0.04339,0.12041,0.23633,0.1591,0.16807,0.31313,1762.50955,saglam
0.40092,1.42653,3.55814,2.91076,0.1006,0.11124,0.2463,0.15885,0.1545,0.3277,1782.48446,saglam
0.41025,1.57898,3.84882,2.96946,-0.17981,0.1237,0.24505,0.14823,0.16819,0.31394,1702.06715,saglam
0.38931,1.30407,3.34968,2.87024,0.20476,0.11613,0.22861,0.16211,0.16675,0.32591,1794.5558,saglam
0.4193,1.56366,3.72925,2.82306,-0.07103,0.11563,0.24387,0.15934,0.15901,0.32067,1702.66955,saglam
0.48153,1.63072,3.38657,2.85712,0.14376,0.12037,0.23835,0.15889,0.15696,0.32487,1708.64599,saglam
0.50314,1.77513,3.52807,2.81374,-0.04823,0.12348,0.24213,0.15544,0.15882,0.3199,1707.86321,saglam
0.46731,1.64899,3.52866,2.91344,-0.05332,0.11214,0.22853,0.15947,0.15967,0.33991,1714.34486,saglam
0.47725,1.77617,3.72171,2.87573,0.0633,0.10924,0.23873,0.15531,0.16956,0.32575,1792.75091,saglam
0.42412,1.39437,3.28766,2.8618,-0.12595,0.12497,0.24118,0.15683,0.16209,0.3147,1706.83468,saglam
0.45537,1.56991,3.44759,2.92133,0.03062,0.10783,0.24349,0.16307,0.15521,0.33013,1746.30958,saglam
0.69916,2.43237,3.479,2.86533,-0.01597,0.10929,0.24969,0.15709,0.1683,0.31474,1780.57748,saglam
0.69801,2.87585,4.12006,3.02866,0.109,0.11099,0.23792,0.15441,0.16897,0.32751,1784.69579,saglam
0.65789,2.11608,3.21647,2.84273,0.02639,0.11248,0.23656,0.16267,0.16401,0.32296,1772.11772,saglam
0.72258,2.83944,3.92957,2.98043,0.03875,0.11627,0.24295,0.15759,0.15184,0.33096,1758.09739,saglam
0.69353,2.25613,3.25309,2.79429,-0.05534,0.11615,0.25217,0.16022,0.16116,0.30904,1724.14876,saglam
0.51931,1.99802,3.84743,2.78535,-0.1513,0.11758,0.23414,0.1622,0.16231,0.32375,1750.9445,saglam
0.47538,1.54929,3.25906,2.73946,-0.09233,0.11544,0.23497,0.1653,0.16726,0.31565,1728.19331,saglam
0.58861,2.18192,3.70687,2.79202,0.02971,0.11754,0.2441,0.15959,0.1578,0.31962,1795.13417,saglam
0.63339,2.03139,3.20714,2.85484,0.04524,0.10959,0.25166,0.15459,0.15387,0.33022,1754.06996,saglam
0.41765,1.34735,3.22602,2.85911,0.01295,0.11103,0.23986,0.14665,0.1609,0.34015,1767.36711,saglam
0.49202,2.01438,4.0941,3.01892,-0.07938,0.11551,0.23623,0.16908,0.15541,0.32212,1762.29672,saglam
0.61832,2.05815,3.32862,2.95695,-0.09352,0.11165,0.25744,0.16402,0.15168,0.3141,1741.22227,saglam
0.61813,2.22437,3.59857,2.83676,0.08621,0.1132,0.2393,0.16432,0.15861,0.32447,1723.80458,saglam
0.65654,2.19333,3.34075,2.75214,0.15267,0.11801,0.24342,0.1567,0.16082,0.32015,1782.85312,saglam
0.46411,1.57764,3.39932,2.89219,0.17088,0.12868,0.24435,0.15315,0.15752,0.31612,1708.27637,saglam
0.43253,1.41116,3.26258,2.98395,0.14519,0.12,0.24155,0.16102,0.17102,0.30609,1713.63921,saglam
0.63417,2.15769,3.40239,2.80874,0.11786,0.11424,0.24857,0.15743,0.15744,0.32101,1775.14621,saglam
0.51394,1.86745,3.63361,2.80261,0.0197,0.11673,0.23617,0.14536,0.16396,0.33612,1732.4399,saglam
0.61729,1.95647,3.16946,2.87446,-0.0429,0.10693,0.23149,0.15631,0.16958,0.33549,1756.75092,saglam
0.55551,1.93112,3.47631,2.92,-0.01274,0.11854,0.24052,0.16454,0.1608,0.31467,1713.66033,saglam
0.55396,2.00331,3.61633,2.91955,0.15877,0.11063,0.2521,0.16553,0.16373,0.30763,1736.85822,saglam
0.62801,2.27341,3.62003,2.99079,-0.15146,0.11336,0.24403,0.15549,0.16592,0.32111,1702.9523,saglam
0.5377,1.71672,3.19269,2.80215,-0.0791,0.1049,0.25571,0.16905,0.15259,0.31731,1763.6019,saglam
0.53168,1.81616,3.41592,2.93208,0.09508,0.12685,0.23432,0.15921,0.16673,0.31122,1709.19816,saglam
0.63631,2.15197,3.38195,2.91274,0.02176,0.10851,0.23697,0.16605,0.15643,0.33104,1786.2013,saglam
0.39092,1.18157,3.02255,2.84317,-0.06537,0.10741,0.24733,0.15767,0.15452,0.33181,1761.70002,saglam
0.48493,1.6519,3.40646,2.74771,-0.10564,0.11298,0.22771,0.16679,0.16508,0.32738,1747.49941,saglam
0.60004,1.8999,3.16626,2.93149,0.03776,0.10203,0.24621,0.17038,0.16184,0.31916,1763.158,saglam
0.67015,2.46173,3.67342,2.87703,-0.05455,0.11977,0.24053,0.1634,0.15481,0.32144,1798.97816,saglam
0.5385,2.07644,3.85597,2.9458,-0.07597,0.11043,0.24985,0.16153,0.1586,0.31809,1750.97233,saglam
0.53154,2.03667,3.83167,3.0843,-0.08106,0.11183,0.24613,0.15485,0.17036,0.31648,1741.14711,saglam
0.59115,2.09534,3.5445,2.8964,-0.09261,0.11888,0.23358,0.16254,0.16071,0.32387,1702.39105,saglam
0.48214,1.92848,3.99981,2.96192,0.08044,0.10782,0.23949,0.162,0.1691,0.32025,1789.29526,saglam
0.541,2.13286,3.94243,2.94968,0.05304,0.10924,0.24215,0.1716,0.16619,0.31068,1770.64408,saglam
0.49911,1.61687,3.23951,2.7,0.09341,0.11684,0.24766,0.15698,0.16057,0.3179,1768.55865,saglam
0.46363,1.4886,3.21075,2.78508,-0.09657,0.12552,0.23151,0.16061,0.15872,0.32302,1717.94284,saglam
0.46997,1.64216,3.49419,3.00746,-0.02478,0.11948,0.23924,0.17049,0.15942,0.30952,1746.09086,saglam
0.66376,2.43943,3.67519,2.94982,-0.03577,0.10302,0.24402,0.1531,0.16513,0.33361,1754.89971,saglam
0.37689,1.60236,4.2515,2.86952,0.05118,0.10831,0.24627,0.16001,0.16466,0.32062,1794.83706,saglam
0.65849,2.44405,3.71158,2.88995,0.07274,0.11322,0.23681,0.1588,0.16737,0.32352,1764.77935,saglam
0.5083,1.75392,3.45058,2.81959,-0.0057,0.12238,0.24147,0.16438,0.15645,0.31498,1700.79705,saglam
0.53811,1.76357,3.27733,2.95455,0.13346,0.11275,0.24067,0.14601,0.16821,0.3314,1782.08667,saglam
0.6285,2.28524,3.63602,2.9771,-0.06718,0.1133,0.23593,0.16351,0.17138,0.31553,1704.29395,saglam
0.63515,2.11861,3.33561,2.77932,-0.05993,0.1181,0.24538,0.14199,0.17042,0.32361,1722.06016,saglam
0.45047,1.51346,3.35976,2.87901,0.09993,0.11933,0.24223,0.16459,0.1484,0.32387,1718.12865,saglam
0.65184,2.20907,3.38898,2.8154,-0.16533,0.10736,0.23082,0.16744,0.17072,0.32366,1724.22327,saglam
0.41813,1.67861,4.01454,3.05702,-0.0354,0.11858,0.24705,0.17088,0.15232,0.30942,1711.75324,saglam
0.53646,1.9498,3.63456,2.90983,-0.17632,0.11042,0.24432,0.17023,0.15678,0.31778,1752.10024,saglam
0.41163,1.28382,3.11882,2.74442,-0.05054,0.10743,0.24831,0.16504,0.16794,0.30944,1759.84782,saglam
0.52931,1.76424,3.33308,2.80419,0.01685,0.11377,0.23851,0.17258,0.16151,0.31246,1728.06268,saglam
0.56971,1.89356,3.32375,2.821,-0.08088,0.11358,0.24387,0.16189,0.15353,0.32615,1798.53762,saglam
0.47828,1.8493,3.8666,2.90539,-0.18908,0.11618,0.24453,0.16187,0.16152,0.3148,1729.23543,saglam
0.4359,1.4257,3.27072,2.90198,0.08682,0.11207,0.24512,0.1638,0.15132,0.32685,1791.28147,saglam
0.4518,1.58213,3.50185,2.95477,0.01251,0.1111,0.23563,0.16091,0.16669,0.32563,1737.68981,saglam
0.61916,2.33378,3.76929,2.82697,-0.01014,0.11858,0.23014,0.16514,0.16603,0.31998,1716.59098,saglam
0.59276,2.14419,3.61726,2.9725,-0.08308,0.11778,0.24823,0.15001,0.17349,0.30929,1798.21584,saglam
0.63897,1.96109,3.06915,2.9013,-0.03047,0.11359,0.24394,0.16023,0.15742,0.32472,1767.75374,saglam
0.42501,1.44165,3.39203,2.82966,-0.17726,0.11653,0.24162,0.15732,0.15317,0.32952,1735.14979,saglam
0.44432,1.52981,3.44304,2.83025,0.02449,0.12133,0.24664,0.15546,0.15885,0.31721,1707.75227,saglam
0.55838,1.9045,3.41072,2.8969,0.10918,0.11572,0.22555,0.16271,0.15956,0.33604,1776.85219,saglam
0.4776,1.91974,4.01954,2.9383,0.15832,0.11352,0.2416,0.14693,0.15683,0.3411,1745.41786,saglam
0.38748,1.32566,3.42122,2.76944,-0.03826,0.11532,0.24351,0.16254,0.15334,0.32428,1754.56258,saglam
0.4906,1.64388,3.35078,2.92892,-0.13154,0.10142,0.24954,0.16003,0.16017,0.32832,1746.66618,saglam
0.67774,2.49226,3.6773,2.91573,-0.01942,0.11621,0.23767,0.16081,0.17115,0.31377,1708.9308,saglam
0.39308,1.3801,3.51099,2.81856,0.06017,0.10743,0.23122,0.1675,0.16798,0.32351,1787.3369,saglam
0.68672,2.33112,3.39459,2.6937,0.035,0.11678,0.23901,0.16065,0.16575,0.31743,1771.50762,saglam
0.44009,1.5061,3.42225,2.86862,-0.06759,0.11005,0.2524,0.16392,0.15142,0.32197,1744.3347,saglam
0.50159,1.51045,3.01131,2.81504,0.12287,0.10613,0.23926,0.1571,0.17426,0.323,1748.83828,saglam
0.60453,2.12318,3.51214,2.89624,0.2025,0.10501,0.23726,0.1669,0.15901,0.32985,1743.08141,saglam
0.55256,2.05899,3.72628,2.92632,0.19441,0.11232,0.24171,0.15765,0.15996,0.32801,1759.3617,saglam
0.4293,1.46953,3.42312,2.90927,0.06569,0.1067,0.24155,0.1645,0.16513,0.3218,1771.75115,saglam
0.56243,1.92443,3.42165,2.80776,0.0133,0.12135,0.23177,0.16166,0.16413,0.32046,1700.81116,saglam
0.44443,1.67262,3.76351,2.80357,0.16374,0.11229,0.24045,0.17134,0.15627,0.31886,1727.24637,saglam
0.50286,1.70541,3.39145,2.87432,0.00816,0.11441,0.2354,0.16047,0.16467,0.32462,1716.56303,saglam
0.47473,1.63959,3.45372,2.85834,0.02947,0.10709,0.22954,0.17358,0.16592,0.32318,1783.12671,saglam
0.49059,1.67084,3.40578,2.90481,-0.04611,0.11269,0.23873,0.15965,0.15562,0.33118,1778.23489,saglam
0.50348,1.68497,3.34668,2.80303,-0.11994,0.12355,0.24768,0.16181,0.1525,0.31419,1700.90177,saglam
0.3919,1.24418,3.17471,2.80051,0.14778,0.10298,0.24972,0.16926,0.16379,0.31416,1771.32981,saglam
0.64661,2.36817,3.66245,2.74934,-0.01295,0.10725,0.25319,0.15153,0.16243,0.32548,1764.56926,saglam
0.62075,1.98424,3.19654,2.74202,-0.06782,0.11149,0.2314,0.15737,0.16951,0.33007,1749.87943,saglam
0.58883,1.93002,3.27772,2.93015,0.03455,0.10384,0.23886,0.16409,0.16123,0.33157,1759.08435,saglam
0.39537,1.3217,3.34293,2.95253,-0.06059,0.12,0.23096,0.1552,0.16415,0.32868,1711.89538,saglam
0.67389,2.1761,3.22916,2.93898,0.05763,0.10839,0.25142,0.15636,0.16549,0.31804,1788.50686,saglam
0.62433,2.2245,3.56302,3.01524,-0.0812,0.11572,0.24557,0.17069,0.14683,0.3204,1788.85445,saglam
0.65837,2.15257,3.26953,2.81527,-0.0004,0.12126,0.24008,0.14973,0.15963,0.32762,1734.02165,saglam
0.67088,2.31019,3.44353,2.92984,0.03906,0.12372,0.23782,0.15192,0.15547,0.33091,1703.24268,saglam
0.69037,2.38822,3.45933,2.87789,0.04644,0.11634,0.23872,0.15757,0.15694,0.32815,1737.4432,saglam
0.54801,1.92106,3.50549,2.77631,-0.06144,0.10682,0.24685,0.16458,0.15061,0.32988,1765.91447,saglam
0.49935,1.73986,3.48427,2.89002,0.11116,0.11461,0.23402,0.16418,0.16902,0.31727,1779.92105,saglam
0.64264,2.17304,3.3814,2.76933,-0.01225,0.11433,0.24617,0.16992,0.1667,0.30193,1710.26464,saglam
0.6588,2.09501,3.18005,2.85885,0.13352,0.11129,0.23688,0.15797,0.16663,0.32613,1767.73751,saglam
0.48468,1.54068,3.17878,2.76948,-0.05213,0.11189,0.24008,0.16611,0.15911,0.32222,1780.79956,saglam
0.50897,1.78446,3.50603,2.88469,-0.12541,0.11559,0.23542,0.1668,0.16337,0.3173,1730.98358,saglam
0.58641,1.9569,3.33708,2.89726,-0.13835,0.10976,0.23728,0.16988,0.14487,0.3358,1774.82233,saglam
0.53782,1.96147,3.64705,3.0539,-0.09795,0.10954,0.23757,0.16986,0.16454,0.31828,1790.09373,saglam
0.68593,2.56266,3.73606,2.85282,-0.06739,0.10578,0.23466,0.16659,0.1527,0.33912,1741.42497,saglam
0.4745,1.68969,3.56095,2.96937,0.05883,0.10417,0.24503,0.16248,0.16422,0.32356,1748.16492,saglam
0.55024,1.8462,3.35528,2.7593,-0.00272,0.10711,0.22852,0.16362,0.15779,0.34125,1761.7211,saglam
0.67393,2.32113,3.44418,2.93411,0.00462,0.10837,0.24269,0.16057,0.16385,0.32373,1711.87134,saglam
0.52189,1.90779,3.65556,2.98523,-0.14593,0.11519,0.23731,0.15539,0.16204,0.32981,1778.04379,saglam
