tarih,saat,haftanin_gunu,tatil,sicaklik_C,yuk_MW
2025-01-01 00:00,0,2,1,-1.2,446.7
2025-01-01 01:00,1,2,1,-0.8,464.3
2025-01-01 02:00,2,2,1,-3.1,499.6
2025-01-01 03:00,3,2,1,-2.6,563.1
2025-01-01 04:00,4,2,1,-2.4,619.4
2025-01-01 05:00,5,2,1,-1.2,631.4
2025-01-01 06:00,6,2,1,-0.4,665.5
2025-01-01 07:00,7,2,1,1.5,681.4
2025-01-01 08:00,8,2,1,2.4,671.4
2025-01-01 09:00,9,2,1,3.1,683.0
2025-01-01 10:00,10,2,1,4.5,696.1
2025-01-01 11:00,11,2,1,5.6,712.7
2025-01-01 12:00,12,2,1,6.2,721.8
2025-01-01 13:00,13,2,1,6.6,760.9
2025-01-01 14:00,14,2,1,7.4,792.7
2025-01-01 15:00,15,2,1,7.9,796.0
2025-01-01 16:00,16,2,1,7.4,802.8
2025-01-01 17:00,17,2,1,6.7,778.9
2025-01-01 18:00,18,2,1,4.9,741.8
2025-01-01 19:00,19,2,1,5.1,656.9
2025-01-01 20:00,20,2,1,4.0,575.5
2025-01-01 21:00,21,2,1,3.7,529.4
2025-01-01 22:00,22,2,1,2.8,452.8
2025-01-01 23:00,23,2,1,3.0,415.8
2025-01-02 00:00,0,3,0,2.9,498.2
2025-01-02 01:00,1,3,0,2.3,518.8
2025-01-02 02:00,2,3,0,2.7,567.9
2025-01-02 03:00,3,3,0,1.8,626.7
2025-01-02 04:00,4,3,0,2.6,684.1
2025-01-02 05:00,5,3,0,2.0,747.5
2025-01-02 06:00,6,3,0,2.7,781.7
2025-01-02 07:00,7,3,0,4.0,799.0
2025-01-02 08:00,8,3,0,5.0,819.7
2025-01-02 09:00,9,3,0,5.7,841.1
2025-01-02 10:00,10,3,0,6.1,821.9
2025-01-02 11:00,11,3,0,6.8,853.0
2025-01-02 12:00,12,3,0,8.1,874.3
2025-01-02 13:00,13,3,0,9.2,922.6
2025-01-02 14:00,14,3,0,9.3,975.5
2025-01-02 15:00,15,3,0,8.6,1003.6
2025-01-02 16:00,16,3,0,8.7,1003.7
2025-01-02 17:00,17,3,0,7.4,998.5
2025-01-02 18:00,18,3,0,6.3,928.5
2025-01-02 19:00,19,3,0,5.0,861.7
2025-01-02 20:00,20,3,0,4.5,768.5
2025-01-02 21:00,21,3,0,3.5,650.8
2025-01-02 22:00,22,3,0,2.7,563.5
2025-01-02 23:00,23,3,0,1.8,516.8
2025-01-03 00:00,0,4,0,0.5,508.7
2025-01-03 01:00,1,4,0,0.1,540.0
2025-01-03 02:00,2,4,0,0.5,581.7
2025-01-03 03:00,3,4,0,0.2,643.1
2025-01-03 04:00,4,4,0,0.7,712.8
2025-01-03 05:00,5,4,0,0.9,757.2
2025-01-03 06:00,6,4,0,2.1,784.6
2025-01-03 07:00,7,4,0,3.2,805.4
2025-01-03 08:00,8,4,0,4.6,796.1
2025-01-03 09:00,9,4,0,5.7,807.4
2025-01-03 10:00,10,4,0,7.6,820.0
2025-01-03 11:00,11,4,0,8.2,847.4
2025-01-03 12:00,12,4,0,8.7,883.5
2025-01-03 13:00,13,4,0,8.8,925.2
2025-01-03 14:00,14,4,0,9.5,952.8
2025-01-03 15:00,15,4,0,9.1,985.0
2025-01-03 16:00,16,4,0,8.5,1001.0
2025-01-03 17:00,17,4,0,8.4,959.9
2025-01-03 18:00,18,4,0,8.4,912.8
2025-01-03 19:00,19,4,0,7.8,832.9
2025-01-03 20:00,20,4,0,5.1,745.2
2025-01-03 21:00,21,4,0,3.4,651.8
2025-01-03 22:00,22,4,0,1.6,578.1
2025-01-03 23:00,23,4,0,-0.1,545.5
2025-01-04 00:00,0,5,0,-1.2,503.0
2025-01-04 01:00,1,5,0,-0.8,516.4
2025-01-04 02:00,2,5,0,-1.4,562.1
2025-01-04 03:00,3,5,0,-2.0,619.9
2025-01-04 04:00,4,5,0,-1.5,668.3
2025-01-04 05:00,5,5,0,-1.1,706.2
2025-01-04 06:00,6,5,0,-0.4,732.5
2025-01-04 07:00,7,5,0,0.0,760.2
2025-01-04 08:00,8,5,0,1.0,755.1
2025-01-04 09:00,9,5,0,2.2,772.5
2025-01-04 10:00,10,5,0,2.1,767.1
2025-01-04 11:00,11,5,0,2.1,785.9
2025-01-04 12:00,12,5,0,3.6,815.5
2025-01-04 13:00,13,5,0,4.8,823.8
2025-01-04 14:00,14,5,0,4.9,857.7
2025-01-04 15:00,15,5,0,4.4,884.5
2025-01-04 16:00,16,5,0,4.2,886.8
2025-01-04 17:00,17,5,0,3.1,874.7
2025-01-04 18:00,18,5,0,2.3,850.0
2025-01-04 19:00,19,5,0,2.5,756.4
2025-01-04 20:00,20,5,0,1.7,681.6
2025-01-04 21:00,21,5,0,1.4,598.2
2025-01-04 22:00,22,5,0,0.2,531.2
2025-01-04 23:00,23,5,0,-0.5,482.2
2025-01-05 00:00,0,6,0,-0.6,460.2
2025-01-05 01:00,1,6,0,-2.0,467.7
2025-01-05 02:00,2,6,0,-2.7,505.7
2025-01-05 03:00,3,6,0,-2.9,557.9
2025-01-05 04:00,4,6,0,-2.6,627.6
2025-01-05 05:00,5,6,0,-1.2,667.9
2025-01-05 06:00,6,6,0,-0.2,698.6
2025-01-05 07:00,7,6,0,-0.3,718.1
2025-01-05 08:00,8,6,0,0.5,701.3
2025-01-05 09:00,9,6,0,1.0,702.4
2025-01-05 10:00,10,6,0,1.5,707.7
2025-01-05 11:00,11,6,0,3.7,726.9
2025-01-05 12:00,12,6,0,3.9,755.6
2025-01-05 13:00,13,6,0,4.6,797.3
2025-01-05 14:00,14,6,0,4.6,832.5
2025-01-05 15:00,15,6,0,5.3,837.6
2025-01-05 16:00,16,6,0,5.4,843.5
2025-01-05 17:00,17,6,0,5.0,835.5
2025-01-05 18:00,18,6,0,4.4,774.8
2025-01-05 19:00,19,6,0,4.2,707.0
2025-01-05 20:00,20,6,0,2.7,625.8
2025-01-05 21:00,21,6,0,1.2,563.8
2025-01-05 22:00,22,6,0,-0.5,507.5
2025-01-05 23:00,23,6,0,-0.7,472.1
2025-01-06 00:00,0,0,0,-1.7,520.3
2025-01-06 01:00,1,0,0,-3.0,568.4
2025-01-06 02:00,2,0,0,-3.6,603.6
2025-01-06 03:00,3,0,0,-2.2,655.6
2025-01-06 04:00,4,0,0,-2.1,719.1
2025-01-06 05:00,5,0,0,-1.2,762.0
2025-01-06 06:00,6,0,0,-0.4,804.8
2025-01-06 07:00,7,0,0,0.4,825.4
2025-01-06 08:00,8,0,0,0.9,844.2
2025-01-06 09:00,9,0,0,1.8,847.3
2025-01-06 10:00,10,0,0,2.6,872.0
2025-01-06 11:00,11,0,0,2.2,891.7
2025-01-06 12:00,12,0,0,4.6,914.1
2025-01-06 13:00,13,0,0,5.8,949.8
2025-01-06 14:00,14,0,0,6.2,983.5
2025-01-06 15:00,15,0,0,6.2,1012.8
2025-01-06 16:00,16,0,0,5.6,1003.8
2025-01-06 17:00,17,0,0,5.7,966.8
2025-01-06 18:00,18,0,0,5.0,909.7
2025-01-06 19:00,19,0,0,4.4,842.0
2025-01-06 20:00,20,0,0,2.6,750.2
2025-01-06 21:00,21,0,0,1.8,660.2
2025-01-06 22:00,22,0,0,1.9,574.2
2025-01-06 23:00,23,0,0,0.7,521.0
2025-01-07 00:00,0,1,0,0.3,504.8
2025-01-07 01:00,1,1,0,-0.4,527.0
2025-01-07 02:00,2,1,0,-0.2,577.8
2025-01-07 03:00,3,1,0,0.3,629.9
2025-01-07 04:00,4,1,0,0.3,690.1
2025-01-07 05:00,5,1,0,0.3,733.3
2025-01-07 06:00,6,1,0,1.0,770.8
2025-01-07 07:00,7,1,0,1.8,786.7
2025-01-07 08:00,8,1,0,2.3,809.4
2025-01-07 09:00,9,1,0,3.6,820.4
2025-01-07 10:00,10,1,0,4.8,842.1
2025-01-07 11:00,11,1,0,5.2,869.5
2025-01-07 12:00,12,1,0,5.9,910.9
2025-01-07 13:00,13,1,0,8.2,939.7
2025-01-07 14:00,14,1,0,9.0,970.2
2025-01-07 15:00,15,1,0,9.1,994.7
2025-01-07 16:00,16,1,0,10.3,978.4
2025-01-07 17:00,17,1,0,9.5,954.5
2025-01-07 18:00,18,1,0,7.2,891.6
2025-01-07 19:00,19,1,0,5.2,834.1
2025-01-07 20:00,20,1,0,3.2,736.3
2025-01-07 21:00,21,1,0,2.3,637.7
2025-01-07 22:00,22,1,0,1.8,592.2
2025-01-07 23:00,23,1,0,-0.5,549.1
2025-01-08 00:00,0,2,0,-0.7,526.8
2025-01-08 01:00,1,2,0,-2.1,535.8
2025-01-08 02:00,2,2,0,-2.3,596.3
2025-01-08 03:00,3,2,0,-2.2,646.3
2025-01-08 04:00,4,2,0,-1.8,725.4
2025-01-08 05:00,5,2,0,-1.4,751.9
2025-01-08 06:00,6,2,0,-0.7,774.6
2025-01-08 07:00,7,2,0,-0.6,794.6
2025-01-08 08:00,8,2,0,0.5,812.9
2025-01-08 09:00,9,2,0,2.1,811.5
2025-01-08 10:00,10,2,0,3.7,824.0
2025-01-08 11:00,11,2,0,6.2,837.6
2025-01-08 12:00,12,2,0,7.6,884.0
2025-01-08 13:00,13,2,0,8.5,916.5
2025-01-08 14:00,14,2,0,9.8,950.7
2025-01-08 15:00,15,2,0,10.0,980.9
2025-01-08 16:00,16,2,0,8.9,992.2
2025-01-08 17:00,17,2,0,7.1,974.1
2025-01-08 18:00,18,2,0,7.1,915.9
2025-01-08 19:00,19,2,0,6.5,825.0
2025-01-08 20:00,20,2,0,6.0,735.3
2025-01-08 21:00,21,2,0,4.6,628.2
2025-01-08 22:00,22,2,0,3.7,569.3
2025-01-08 23:00,23,2,0,3.8,510.1
2025-01-09 00:00,0,3,0,3.0,523.5
2025-01-09 01:00,1,3,0,1.5,547.2
2025-01-09 02:00,2,3,0,0.8,569.0
2025-01-09 03:00,3,3,0,1.3,622.5
2025-01-09 04:00,4,3,0,0.7,694.5
2025-01-09 05:00,5,3,0,-0.5,760.4
2025-01-09 06:00,6,3,0,-1.3,812.6
2025-01-09 07:00,7,3,0,-1.3,853.1
2025-01-09 08:00,8,3,0,0.1,832.6
2025-01-09 09:00,9,3,0,1.2,848.6
2025-01-09 10:00,10,3,0,1.8,850.8
2025-01-09 11:00,11,3,0,2.0,869.3
2025-01-09 12:00,12,3,0,2.8,892.6
2025-01-09 13:00,13,3,0,3.4,943.2
2025-01-09 14:00,14,3,0,3.5,989.5
2025-01-09 15:00,15,3,0,3.5,1003.9
2025-01-09 16:00,16,3,0,3.0,1002.0
2025-01-09 17:00,17,3,0,3.7,973.5
2025-01-09 18:00,18,3,0,1.7,924.6
2025-01-09 19:00,19,3,0,1.0,842.7
2025-01-09 20:00,20,3,0,-0.5,744.2
2025-01-09 21:00,21,3,0,-1.0,654.5
2025-01-09 22:00,22,3,0,-2.1,572.7
2025-01-09 23:00,23,3,0,-2.8,525.4
